cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_6.json;10651,36;8322,72;1,2798;1844,04;200;2280,14
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_7.json;11134,66;8394,15;1,3265;1173,72;200;2278,05
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_8.json;11338,21;8581,09;1,3213;1538,20;200;2277,40
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_9.json;11246,79;8694,18;1,2936;1243,24;200;2322,63
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_1.json;2498,07;2199,10;1,1360;485,79;200;619,35
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_10.json;2579,69;2298,43;1,1224;521,33;200;605,18
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_2.json;2715,24;2346,05;1,1574;336,20;200;616,81
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_3.json;2472,12;2139,31;1,1556;404,11;200;610,75
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_4.json;2466,05;2166,97;1,1380;451,84;200;607,07
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_5.json;2452,87;2112,63;1,1610;352,90;200;610,18
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_6.json;2527,60;2276,94;1,1101;325,28;200;606,22
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_7.json;2522,00;2176,93;1,1585;500,89;200;605,68
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_8.json;2407,20;2186,89;1,1007;375,32;200;608,47
HHLHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHL\HHLHLHL_9.json;2776,12;2301,31;1,2063;290,64;200;608,38
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_1.json;8507,27;7872,68;1,0806;1765,90;200;202,85
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_10.json;9046,74;8392,99;1,0779;2836,07;200;197,17
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_2.json;9397,23;7995,13;1,1754;2675,66;200;192,15
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_3.json;9622,92;7890,93;1,2195;2260,53;200;192,76
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_4.json;8842,63;8327,60;1,0618;2007,48;200;189,10
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_5.json;8819,66;8217,79;1,0732;2872,36;200;210,49
HHLHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLLH\HHLHLLH_6.json;8838,12;7704,99;1,1471;2133,09;200;219,89
